;pib;trabalho;cambio
BRA-1950;86.574.058.171.913;2042;1
BRA-1951;908.136.765.960.718;2051.02;0
BRA-1952;99.449.221.807.915;2060.08;0
BRA-1953;104.503.139.389.144;2069.18;1
BRA-1954;113.076.079.199.048;2078.31;1
BRA-1955;120.375.315.183.613;2087.49;2
BRA-1956;124.745.030.504.981;2096.71;2
BRA-1957;137.270.129.797.878;2105.97;2
BRA-1958;146.030.662.023.065;2115.27;3
BRA-1959;157.291.121.007.259;2124.62;4
BRA-1960;16.949.982.710.784;2134;8
BRA-1961;193.353.921.236.025;2135.1;1
BRA-1962;203.356.220.512.401;2136.2;17
BRA-1963;216.464.956.193.858;2137.29;25
BRA-1964;225.476.628.021.434;2138.39;5
BRA-1965;241.192.094.494.337;2139.49;82
BRA-1966;250.752.649.905.435;2140.59;96
BRA-1967;265.130.389.811.011;2141.69;115
BRA-1968;294.824.521.719.399;2142.8;146
BRA-1969;313.737.917.627.444;2143.9;176
BRA-1970;348.008.565.960.001;2145;199
BRA-1971;387.472.737.339.883;2128.54;229
BRA-1972;433.736.982.178.663;2112.21;257
BRA-1973;49.433.003.858.888;2096;265
BRA-1974;53.461.793.673.396;2079.77;29
BRA-1975;562.257.684.062.948;2063.67;35
BRA-1976;619.945.322.447.678;2047.69;462
BRA-1977;650.508.626.844.197;2031.83;612
BRA-1978;682.838.905.598.612;2016.1;782
BRA-1979;728.998.815.617.153;2000.49;117
BRA-1980;796.285.406.298.594;1985;2281
BRA-1981;762.443.276.530.868;1974.1;4030
BRA-1982;768.771.555.725.847;1963.25;7769
BRA-1983;746.246.549.143.448;1952.47;24972
BRA-1984;786.543.862.797.179;1941.75;79974
BRA-1985;8.482.796.905.878;1931.08;268324
BRA-1986;911.815.839.412.853;1920.47;590968
BRA-1987;944.002.938.544.157;1909.92;169763
BRA-1988;943.436.536.780.884;1899.43;1135477
BRA-1989;973.249.131.343.441;1889;122638743
BRA-1990;930.912.794.129.727;1879;2955726789
BRA-1991;940.501.195.909.256;1874.23;0.000175961443086024
BRA-1992;936.266.927.038.139;1869.48;0.00195302352248811
BRA-1993;981.546.606.817.014;1864.73;0.038276610926673
BRA-1994;103.898.974.724.554;1860;0.664683514070577
BRA-1995;108.287.245.162.304;1855.23;0.917666666666667
BRA-1996;110.615.991.572.043;1850.48;10051
BRA-1997;114.349.562.753.748;1845.73;107799166666667
BRA-1998;114.389.986.728.758;1841;116051666666667
BRA-1999;114.680.611.932.456;1841;181393284657213
BRA-2000;119.618.985.213.025;1841;182942312207561
BRA-2001;121.189.724.607.939;1841;234963170932244
BRA-2002;124.411.061.509.865;1841;292036301775519
BRA-2003;125.837.583.403.078;1841;307747511847801
BRA-2004;133.025.794.085.989;1841;292511944951586
BRA-2005;1372289.75;1841;243439003623188
BRA-2006;142.659.173.649.897;1841;217532666666667
BRA-2007;15.134.912.970.311;1841;194705833333333
BRA-2008;159.162.535.120.867;1841;183376666666667
BRA-2009;158.635.213.293.198;1841;199942817314426
BRA-2010;170.586.168.269.867;1841;175922671058718
BRA-2011;175.248.091.799.407;1841;167282875525659
